345.25,-35.00,58.00,-11.960,-13.080,5.990
133273,332.06,-12.19,37.81,13.790,3.980,6.460
133287,331.19,-11.56,37.56,10.460,0.760,5.810
133299,331.44,-12.25,37.31,4.290,-1.100,-0.140
133312,331.87,-12.88,37.50,4.530,-1.150,2.260
133324,332.50,-13.25,37.81,6.380,-1.880,3.480
133338,333.13,-13.31,38.13,5.750,-3.990,5.690
133351,333.69,-13.69,38.88,3.920,-5.210,7.200
133363,333.56,-14.13,39.19,1.180,-4.510,8.690
133375,333.31,-14.69,39.50,-2.270,-5.930,9.010
133389,333.13,-15.31,39.81,-3.850,-5.090,9.350
133401,332.81,-16.87,40.56,-13.570,-9.570,9.570
133413,332.75,-17.62,40.94,-14.950,-13.290,8.590
133425,332.69,-18.12,41.19,-19.510,-13.250,8.460
133439,332.75,-18.44,41.37,-19.930,-16.210,7.990
133451,332.25,-18.75,41.44,-11.740,-13.480,9.630
133463,332.19,-18.37,41.25,-7.680,-10.360,10.650
133475,332.19,-17.50,40.94,-10.800,-9.350,8.510
133489,332.50,-16.75,40.56,-3.930,-6.970,7.200
133501,333.25,-15.00,39.94,-1.800,-4.670,7.440
133513,333.75,-14.19,39.63,3.140,-1.890,6.980
133525,334.00,-13.44,39.31,7.730,-0.380,6.410
133539,333.63,-12.75,39.00,11.830,0.010,5.340
133551,332.19,-12.13,38.81,5.310,-2.100,3.420
133563,332.25,-12.50,38.81,4.890,-1.250,1.520
133575,332.69,-13.13,38.81,5.230,-1.150,0.900
133589,333.19,-13.62,39.00,5.840,-2.480,5.280
133601,334.06,-14.00,39.50,5.820,-3.840,5.820
